epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5145962834358215,0.4912494421005249,0.00023181962023954839,0.7123972773551941,0.5437803268432617,0.6998296976089478,0.47091585397720337,0.7171133160591125,0.6923977732658386,0.44574397802352905,0.9970930218696594
1,0.5514751672744751,0.5399231314659119,0.00023181962023954839,0.6902776956558228,0.5641077160835266,0.7934165596961975,0.5748762488365173,0.6779443025588989,0.6899617314338684,1.0,0.0014534883666783571
2,0.5529503226280212,0.5482314825057983,0.00023181962023954839,0.6864216923713684,0.5661364793777466,0.7828863263130188,0.6033415794372559,0.7658239006996155,0.6884201169013977,0.5186064839363098,0.9520348906517029
3,0.571195662021637,0.5693944692611694,0.00023181962023954839,0.681658148765564,0.5768336057662964,0.8097131252288818,0.6732673048973083,0.7716559171676636,0.6686480641365051,0.5757575631141663,0.8837209343910217
4,0.6006987690925598,0.6105403900146484,0.00023181962023954839,0.6701217293739319,0.6010202765464783,0.8028109073638916,0.6089109182357788,0.7611721158027649,0.6666501760482788,0.522292971611023,0.9534883499145508
5,0.611257791519165,0.6334220170974731,0.00023181962023954839,0.659374475479126,0.6132725477218628,0.7831085920333862,0.6194307208061218,0.7872143387794495,0.6486643552780151,0.5290836691856384,0.9651162624359131
6,0.6357142925262451,0.6694209575653076,0.00023181962023954839,0.6403899788856506,0.6383078694343567,0.7709338665008545,0.6831682920455933,0.7967246770858765,0.6136751770973206,0.5805860757827759,0.9215116500854492
7,0.654891312122345,0.693906843662262,0.00023181962023954839,0.6271583437919617,0.6526995301246643,0.7891301512718201,0.6800742745399475,0.8194142580032349,0.5941202640533447,0.5780822038650513,0.9200581312179565
8,0.6611024737358093,0.7016591429710388,0.00023181962023954839,0.6170492172241211,0.657304048538208,0.794234573841095,0.6423267126083374,0.8270662426948547,0.6091966032981873,0.5456053018569946,0.9563953280448914
9,0.6685559153556824,0.7095810770988464,0.00023181962023954839,0.6164143681526184,0.6639121770858765,0.7981833815574646,0.6169554591178894,0.8287569880485535,0.6194453239440918,0.5272296667098999,0.9709302186965942
10,0.6871894598007202,0.7308415174484253,0.00023181962023954839,0.5975558757781982,0.676010251045227,0.8218088746070862,0.6800742745399475,0.8255555629730225,0.5781785845756531,0.5783684849739075,0.917151153087616
11,0.6735248565673828,0.7177563905715942,0.00023181962023954839,0.6063858270645142,0.6686854362487793,0.799176812171936,0.7314356565475464,0.8483994007110596,0.5583232045173645,0.6257425546646118,0.9186046719551086
12,0.6864906549453735,0.7393771409988403,0.00023181962023954839,0.5906484127044678,0.6810895800590515,0.8023569583892822,0.6763613820075989,0.8350823521614075,0.5737447738647461,0.574525773525238,0.9244186282157898
13,0.689130425453186,0.7424930334091187,0.00023181962023954839,0.5897621512413025,0.6790675520896912,0.818620502948761,0.6844059228897095,0.8275220394134521,0.5517293810844421,0.8345864415168762,0.322674423456192
14,0.6968944072723389,0.7533325552940369,0.00023181962023954839,0.5802437663078308,0.6909599900245667,0.806332528591156,0.7685643434524536,0.8625881671905518,0.5215252637863159,0.6909975409507751,0.8255813717842102
15,0.6885093450546265,0.7476083636283875,0.00023181962023954839,0.5853171944618225,0.686515748500824,0.7921635508537292,0.7388613820075989,0.8468457460403442,0.5451424717903137,0.6430107355117798,0.8691860437393188
16,0.6977484226226807,0.7593829035758972,0.00023181962023954839,0.5747256278991699,0.6934969425201416,0.8020434379577637,0.7778465151786804,0.8655233383178711,0.4961954355239868,0.7173051238059998,0.7892441749572754
17,0.7011646032333374,0.7602941989898682,0.00023181962023954839,0.5721713900566101,0.6936871409416199,0.8125177621841431,0.7561880946159363,0.858544111251831,0.5132923126220703,0.6622516512870789,0.8720930218696594
18,0.711568295955658,0.7724856734275818,0.00023181962023954839,0.5618934035301208,0.7066121101379395,0.8084019422531128,0.7004950642585754,0.8677976131439209,0.5356321334838867,0.59375,0.9389534592628479
19,0.7016304135322571,0.7622904777526855,0.00023181962023954839,0.5728469491004944,0.6993277072906494,0.7973030805587769,0.6392326951026917,0.86509108543396,0.5902618169784546,0.5425790548324585,0.9723837375640869
20,0.7095496654510498,0.7730816602706909,0.00011590981011977419,0.5591269731521606,0.6991075873374939,0.8230867385864258,0.7134901285171509,0.8713333606719971,0.5312259197235107,0.605832576751709,0.9360465407371521
21,0.7135869860649109,0.7771962881088257,0.00011590981011977419,0.5589650869369507,0.7063521146774292,0.8156924247741699,0.7493811845779419,0.871077299118042,0.5133102536201477,0.6436548233032227,0.9215116500854492
22,0.7210403680801392,0.7866917848587036,0.00011590981011977419,0.5461853742599487,0.7137022018432617,0.8183366656303406,0.7660890817642212,0.857215166091919,0.4961516559123993,0.6908866763114929,0.8154069781303406
23,0.720108687877655,0.7886430621147156,5.7954905059887096e-05,0.5466689467430115,0.7137708067893982,0.8151880502700806,0.7574257254600525,0.8579136729240417,0.5059986114501953,0.6709007024765015,0.8444767594337463
24,0.7190994024276733,0.7866529226303101,5.7954905059887096e-05,0.5470330119132996,0.7093108296394348,0.8241056203842163,0.771039605140686,0.8602270483970642,0.4960985779762268,0.744615375995636,0.7034883499145508
